screenName,name,bio,followersCount,tweetsCount,friendsCount
KameshRajD0728,Kamesh Raj D,"19 | Discord Community Manager 
Worked with @UniTradeApp / @softyearnfi / @Salad_Chefs / @boysnoize / @shroomzNFT

INACTIVE TILL IDK",1,3,15
thebowlpulp,Bowlpulp,I'm in a development phase..,140,233,245
IshitRajput2,Harshit Singh,"Student at Bundelkhand University, B-tech CSE '24, Computer. programmer (C, C++, Python), Full-Stack Developer",11,12,76
AdarshM33646840,Adarsh Mishra,,1,2,6
NeelGabani03,Neel Gabani,Passionate WebDev | SIH 2022 finalist,40,25,388
Rajm150503,Raj Mandaviya,We are a team of passionate people whose goal is to improve everyone's life through disruptive products. We build great products to solve your business problems,13,55,49
SunRoboticsTech,SunRobotics,Organizer @reactdelhi 👨🏻‍💻 • Frontend Engineer 👨🏻‍🔬 • Former Intern @nokia 🌎 • @cncfdelhi Former Organizer 🤵🏻 • Photographer 📸,35,266,76
v4xsh,Vansh Kapoor,Good at art works....,271,2613,432
DineshRoy143,Sai Dinesh,Core member @HackTheSpace_🛸 | 💻 Frontend | ✨ Tech Enthusiast | SSTC🎓,1,0,10
mohit_makda,Mohit Makda,Hey there 🙋🏼‍♀️,42,92,163
GunjanMadhwani,Gunjan,"Learning  DSA | Javascript | React.js | Java | 3 🌟  Codechef | Tech communities | Volunteer @GuildDelhi | Volunteer @gdscWOWdelhincr
            Music junkie",8,0,39
asc_avi,Avneet Singh Chhabra,Pro-castinator😜|  Dev @volvocars | @IIITKottayam,286,706,572
jt_harini,Harini Thirunavukkarasu,,2,8,43
sarthak_s_c,Sarthak Chandurkar,"“ᴡʜᴀᴛᴇᴠᴇʀ ʏᴏᴜ ᴀʀᴇ, ʙᴇ ᴀ ɢᴏᴏᴅ ᴏɴᴇ.” ― ᴀʙʀᴀʜᴀᴍ ʟɪɴᴄᴏʟɴ.    

📚 | Love Reading
🎓 | KJSIEIT'23
📸 | ShutterBug",20,43,37
jay_munjapara_,Jay Munjapara,Blockchain Enthusiast,56,78,217
kalekar_a,Aksh 3.0,"😁Android developer |🏆 Smart India Hackathon 22 Winner |
💻 Ex- Android Dev Intern BiBox Labs| Freelancer|
🌟 Kotlin & Java are my secret weapons.",8,43,84
FREAK_VINIT,VINIT ASHOK HANABAR,"Writer 📝and Blogger📃 | 
trader📈 coming to create soar
🎯 on Mission |#patriotism🇮🇳",83,80,240
WriterAs_,Sunny mishra,,5,117,181
PhysicsMohit1,Mohit Chaudhary,"#Entrepreneur #CyberSecurity #SocialWorker

Also Tweet my thinks and problems so, let's follow me and enjoy my tweets activities 

Follow my insta id link ⬇",9,73,147
RushikeshGarole,Rushikesh Garole,,19,70,120
MathurMugdh07,Mugdh Mathur,,9,239,165
Maheshbollu9,Mahesh Bollu,,1,22,55
VivekSh56686580,Vivek Sharma,Food Technologist,0,612,21
MKSHARMAFPT,MK Sharma,,154,252,3667
jeganrai10,jegan,,13,15,40
Anshika2468_,Anshika Kumari,"Python, Julia, AI, Cyber Law, Cyber Security, and Cyber Forensics, Speaker, Learner, Teacher, Mentor, Reviewer",3,3,19
gcdeshpande,"Gajendra Deshpande ðŸ‡®ðŸ‡³ FRSS, MBCS, SMIEEE",Software Developer || SIH'22 Winner || 👾 Debugging life!,684,7477,2740
_ishaver__,Isha Verma,UX designer | Core Member @dscabesit | Grand Finalist @SIH2022_MIC | Frontend Developer | Organizer @hacknovate 4.0,16,173,14
AmanSharma0052,Aman Sharma (He/Him),,79,54,176
manopragathesh,Manopragathesh,,18,1,204
1nh21ee086,Preetham_H_B,,0,0,3
ShivamY43797828,Shivam Yadav,"~Some call it awkward I call it way of life.        

        ~ coffee addict.",3,4,132
Pssiddharth1,siddharth ps,,30,160,83
kotgire_parth,Parth Kotgire,@AlchemyLearn,3,1,71
BishalS40514606,Bishal Sunuwar,,7,39,231
ROHITRAJ2424,ROHIT RAJ,"Fellow at NxtWave's CCBP Academy, passionate about 4.O technologies. In love with the coding challenges and hands-on projects.",26,1,909
akash_padala,Akash Padala,,150,73,143
raj_sundar07,Sundar Raj,"funny guy but also a teenager, unfortunately",0,0,10
AdheetAg,Adheet Agrawal,19 | student,0,1,46
tMohammedNadeem,Mohammed Nadeem,"Full-stack 🌐|  Nextjs ⏭️| 🐧| ☁️Cloud |
∞ Dev-Ops 🐬| 🌐3🪶my learnings and Views | 💬I believe that curious people can bring many new ways to make life easier",2,3,175
Mr_Explorist,Lalit SharmaðŸš€ðŸ§‘â€ðŸ’»,,24,110,1008
VedPrak39212943,Ved Prakash,studing software developement at international studies for professional studies davv indore,20,5248,278
05AbhishekPawa1,Abhishek Pawar,Upcoming Software Developer || Frontend Developer(ReactJS) || Learning MERN stack|| (ISC)² Candidate||,43,95,1056
Manojk2Abhishek,Abhishek Manojkumar SharmaðŸ‡®ðŸ‡³,,91,288,1768
SamiyaK63318273,Samiya Khan,,0,0,5
GirishSonune,Girish Jagadish Sonune,Working as Assistant Professor in Department of ECE @CMSCET,5,7,304
sprabakaran87,Prabakaran S,"Money can be made (or lost) in the short term, wealth is built over the long run. Learn to consistently accumulate.",13,5,118
tommy46136,tommy2020.lens,Ball wil Bounce Back...,247,4786,4882
ArunAruncmr12,ARUN PRASATH,,0,0,71
Dinesh30793575,Dinesh,Passionately learning computer science!,7,3,37
anirbanc88,A12C58,"Cyber Security Researcher | 
Admin @shallvhack communtiy.",104,1392,2304
mymadhavyadav07,Madhav Yadav,,2,34,73
vkmaurya2001,varinder Kumar,SIH Grand Finalist '22| Web Developer |Artificial Intelligence |Machine Learning |Learner|Graduation '25,0,0,13
khyati_mishra7,Khyati Mishra,smile everyday,9,15,125
Shailes83527889,Shailesh Khandate,,3,10,25
BhuvanaInturi,Bhuvana Inturi,,12,0,276
RajashekarMR81,Rajashekar M R,,1,1,215
arshi_sabah,Arshi Sabah,tech and personal blog,3,11,63
threadsoflifebg,threadsoflifeblog,,14,132,122
WardhewarAkash,Akash Wardhewar,"ଗର୍ବିତ ଓଡ଼ିଆ.🏅Rank-14, ASO | Now S.O |🏛️Odisha Secretariat | Quizzing Movie Sports Cycling | Business n Brands | Geography ❤️  Wants to 'be the change' |",1,3,77
SurendraP89,Surendra Pradhan,ॐ ॥ Evangelist ॥ Technologist ॥Diplomatic ॥ Above All Believer & Follower Of Sanatana (सनातन) Dharma ॥ ॐ,73,304,4992
vijaymantri,VijayðŸ‡®ðŸ‡³,"तुम साथ हो या ना हो क्या फर्क है 
बेदर्द थी ज़िन्दगी बेदर्द है!!💚",90,2533,729
loneguyatthebar,xceptstriver!! ðŸ§‘â€ðŸ’»,,140,171,3329
Packianand,Packia Lekshmi,,4,1,5
Saip809701,Sai Pawar,🇮🇳 ll Social Worker ll Cricket 🏏 lover ll #CSK #TeamIndia,0,25,23
iamMpradhan,Manas K Pradhan ðŸ‡®ðŸ‡³,cursed life of a student,7,59,189
Bhaskar_690,Bhaskar Pandey,Student,5,5,27
aakash_gvt,Aakash Gvt,"Jack of all trades master of none, still any day better than master of one
✦ Product Designer @FoyerWork
✦ Core team @fuelerhq
✦ Side hustle @bohon_co",41,12,1620
KunduMehul,Mehul Kundu âœ¦ à¦®à§‡à¦¹à§à¦² à¦•à§à¦¨à§à¦¡à§,,339,1540,230
RADIANT_SAND,Kusum SWarnakar,"'The Sanatan Dharma, that is nationalism'
                            
Working for #Indic_Resurgence. CSE.
Opinionated on most things. Well read on many.",4,10,64
AreteKleos,AryaThumos:SolarPraetorian,"Future Computer Engineer🇮🇳,
Massive Book Reader📖,
Writer🖊️, Blogger ⌨️.",1978,13778,3653
PakshalGhiya,Pakshal Ghiya,Official Account of GIDC Degree Engineering College (GDEC),10,20,73
gdeccollege,GDEC College,,43,171,26
aghori_sagar,CSUO.VIDYASAGAR A K,Entrepreneur,0,4,18
sanjay_entrepre,Sanjay,,22,21,108
actionaider,Karthick arun,Be happy 😊...be cool,1,0,17
sathish_saish,SATHISH,Take a smile with you everywhere you go.,7,3244,176
mangukiya_henil,henil mangukiya,,2,0,29
tweet2darwin,Darwin,,3,0,247
AyushiG2512,Ayushi Gupta,,8,3,76
aryannnsinha,Ry,21 || GDSC Lead’23 @gdsc_usar || ACM-W Vice Lead @acmuss || LeadDev @SDC_USS || Python👩‍💻|| IOT Sophomore @GGSIPU_EDC || Public Speaker || Professional Dancer,301,22,496
Taniska_Jha,Taniska Jha,"Free sex chat ( Women only )
സ്വർഗം കാണിക്കാം
Gym Goer",104,51,92
Kidnappedsou1,ðŸ“¸ðŸ“¸,Student,188,237,488
MANIKANTARAJU14,MANIKANTA RAJU,,8,0,101
nharish24,harish,,22,77,332
vijay61218,vijayaragavan R,DSA threads •🎓CS,3,3,75
dn18dn18dn18,Devidutta Nayak,"Embedded systems, AI, ML & Deep Learning Enthusiasts",8,61,138
AntoHerald,Herald Antony,I am now 10th class student And Cyber security Advisor And Social Activist#cybersecurity#advisor,8,0,25
KumarNaveer,Naveen Rajput,"Striving in π°
BE in AI ML",12,43,303
hussainafroz1,Hussain afroz,"Past ML research IIIT Una| ML, DL, NLP Enthusiast | SIH'22 winner | Kaggle notebooks expert",8,10,115
arinjay_pathak,Arinjay Pathak,🖤,29,64,143
aashwin_kundu,Aashwin Kundu,frontend developer,6,6,40
KapilRa13060535,Kapil Rathee,,5,16,123
BrajKS28,Braj Kishor Sharma,IIIT K CSE '24,0,0,26
iamakarsh___,Akarsh Pandey,"MIDDLE CLASS INDIAN ,

ENGINEER, ✍🏻✍🏻ALWAYS TRY TO LEARN SOMETHING ✍🏻✍🏻",45,18,148
Arshad__Iqbal,Arshad Iqbal ðŸ‡®ðŸ‡³Ø§Ø±Ø´Ø¯ Ø§Ù‚Ø¨Ø§Ù„,Freedom from Permission - DeFi,76,54,3043
0xAbhay_Eth,Abhay Singh,"Computer science student
Web dev and blockchain enthusiast",25,20,341
Savyasachichat2,Savyasachi chaturvedi,Aspiring Frontend Developer👨‍💻,20,55,317
Ranjith090,Ranjith,,11,4,724
shreyashh09,Shreyash Jaiswal,Personal Blog,4,0,21
MSDian_Biru_7,Birupakshya Panigrahi ðŸ‡®ðŸ‡³,,60,117,212
LOGESHK16,LOGESH KUMAR K,,38,90,760
McChandB,McChand,19 •ECE '2026'  •trying to do everything at once,3,2,556
VaibhavUmrao789,Vaibhav,Aspiring Software Developer 🚀 | C++ | Python | 🌐 Diving into DSA 📚 | https://t.co/GA0n9f7BTp… | https://t.co/WFWyzRovzb,30,1170,1024
intriguejateeen,jaaateen,"It you don't like maths, at least have a good sense of humour ☺",15,810,214
Nii_AlYasa,Elisha,,57,1359,63
PatlolaSoumya,Patlola soumya,Manager Sales at KAARNAT for Shakti Hormann Industrial Doors 🇮🇳,4,0,49
keshav1577,KESHAVA RAO JADHAV,let it be simple.,194,12233,748
vinayg007,Vinay,Building @ProjectXCloud Funding @iitbombay cohort @iimb_official | Scholarship @HackTheNorth '23 | ML Research @Woxsen,1,182,359
subhrokomol,Subhrokomol Das,,223,410,4454
Geniustechmedi1,Geniustechmedia,,64,347,1191
comrade_harish,Sree Harish Radhakrishnan,polymath|Blockchain Developer | Building @bobdao5| building the new idenity of tomorrow.|@ethindiaco winner| bangalore lead for stackos & shardeum,2,14,65
KDvaipayan,krishna dvaipayan is buidling,Fellow at NxtWave's CCBP 4.0 Academy.I'm in love with coding and Artifical Intelligence,163,308,264
AswinNagendra,ASWIN NAGENDRA KANNAN,Full Stack developer | Python | Django | JavaScript | Java | Spring | C# | Flutter | React | Angular,1,6,11
themrcompiler,Meghanath NalawadeðŸ‡®ðŸ‡³,Professional Shitpost Scroller,3,0,78
Gdotkumar145,Kumar Gaurav,be what u are,9,89,93
LOGESHK96412088,LOGESH KUMAR,Learning Fullstack | Java |React,6,48,90
YasinShaik47,Yasin Shaik,,20,128,192
jibaapek,kallepalli bapayya,Intern at @India_iDEX | • Frontend Dev | • Ex-Intern @Cisco | @kiet_edu'24 | • Exploring Community spaces | • DevOps Learner | • Keep Moving | • open source 🫥,0,2,12
Amrendra_xSingh,Amrendra Singh,Nothing to say,12,90,328
TechieTech31,following_AtomicHabits,👨‍💻|| 1️⃣8️⃣ || CSE'26 || ✍️Learning  Web development🌐 || C++ || Community🫂 || Love to talk about new technologies💡 ||Documenting my journey🙃,0,1,150
shivam_tw,Shi.vam,🇮🇳,357,312,717
Priyanka_kGupta,à¤ªà¥à¤°à¤¿à¤¯à¤‚à¤•à¤¾ à¤—à¥à¤ªà¥à¤¤à¤¾,| python| DSA,88,4234,847
Praveen14019996,Praveen,,17,12,88
yateenjoshi,Yateen V. Joshi,Summer SDE Intern@Adobe@ IIT Madras Diploma In Programming @BTech computer science and engineering fro-GBU.,50,399,47
012Bcs,Anurag Shukla,,27,175,461
Harsha59215164,Harsha,Cricket Fan🏏,0,10,16
dananjeyan_dj,Dananjeyan,I get along so nice with people,21,434,763
MosbeeTeddy,Teddy Mosbee,Seputar Dunia Otomotif,17,5,215
Manggala_PM,Manggala_Prima_Motor,,3,29,108
HariOmJ83591565,Hari Om Ji,,0,1,28
RitamDa55131666,Ritam Das,,5,72,73
vram4891,vijayaram sangadi,Live a Life Less Ordinary | BCA @Chandigarh_uni | Defence aspirant | भारत माता कि जय | Golf ⛳| CS 🖥️ I Computing Expert,4,0,171
SaumyajeetDas,Saumyajeet DasðŸ‡®ðŸ‡³,"M.E.,C-DAC| Engineer@SGGSIET-AICTE Lab Nanded|Technology|Innovation|Entrepreneurship| Start-up|Incubation| Exploration| & 
|Farmer@MyFarm,Ekurga|Agriculture",154,6568,1328
surajkulkarni9,Suraj D. Kulkarni,Dev & Tech addict,94,205,867
SalimDanKobo,Salim Laouali Dan Kobo,,7,42,198
AmbitAmbit2,Ambit Ambit,"Aspiring Student 💥.......... 
Blink and Directioner Forever💗🫶.......... राधे कृष्ण 🙏🦚",13,10,687
tarunk_8924,Tarun Kancherla ðŸ‡®ðŸ‡³,working on glimpse to get the picture..📚,58,1850,60
tejakarthik28,teja karthik,"artist
web designing
https://t.co/kWK3gzsadr
freelancer",4,32,114
KP7102,krishna Prasanth.S,,21,204,483
AnushkaYadav176,Anushka Yadav,fitness enthusiast with stimulation in coding,7,53,30
notokaypranjal,theycallmepranjal),,211,321,368
TubatiYeswanth,yeswanth tubati,,3,0,17
ramshunnu,ram,Pranam 🙌,54,14,497
ashurods322,Aashutosh Pandey,"Anime and Manga geek
Loves reading and gaming
And sometimes wander in my own imagination",0,2,67
NamanKun01,Naman Agrawal,Keen on Sports⚽️🏏🏊🏻‍♂️ Technology👨🏻‍💻 Gym🏋🏻 Travelling🚶🏻 Books📚,8,2,19
Gowshik23,Gowshik,"learning more in TECH •ENFP •programing club lead @IIITGhy • AI/ML •julia astierake • C++, py •  @GDSC core team members • webdev •📖HIDDEN EMOTIONS'",41,0,1201
iswatin_,Swati,,479,207,266
Nishant22k,Nishant Roy,..,18,1,190
DrRahulDixit6,Pranvi,Design • Engineering • Physics • CS,33,102,479
taimoorahmadx,Taimoor Ahmad,"Плохая новость - время летит. 
Хорошая новость в том, что вы пилот.",69,179,1207
I_AyushTripathi,Ayush Tripathi ðŸ§¡,"All is well, End is well",5,51,78
19me027ebi,EBINAZER A,,238,503,5001
koshika_lamba,Koshika Lamba,,8,9,62
sivananthan1805,sivananthan,"Developer Advocate | Ex-@yugabyte DB | @ThePSF Fellow | Pythonista 🐍 and a byte of 🦀 |🤹‍♂️ @pyconindia, @gdgchennai, @kcdchennai | #opensource 🚀",1,0,16
StalwartCoder,Abhishek (He/Him),Cricket is life and beyond.,2508,8203,4992
i_am_Ash_,ict_fan,"GDSC AI/ML Dev || GDG Indore || SIH'22  Winner 🥇|| ETHIndia Winner 🏆|| etc etc || Let's Connect and Collaborate✨ || 
Already started shit postinggg🚀🚀",80,985,1192
arushi_sthapak,Arushi Sthapak ðŸŒªï¸,"We developers feel very satisfied while doing our projects.
@SIH2022_MIC SIH 2022 Winner",1062,1167,1503
AnantMi_,Anant Mishra,,125,85,357
ashokarm2011,Ashok Tiwari,We're all bad in someone's story...,1,111,32
wtfudit,Udit,"📍 Aspirant
📍 Chennai",3,7,41
karuppa90738548,karuppasamyðŸŽ­,,124,365,522
MohitYa55919859,Mohit Yadav,Question everything,3,0,26
TumeloNtsonyana,Questions,शीलं परमं भूषणम्,637,288,4988
bhdesai2002,Bhargav Desai,,18,18,266
AEnguang,Amador Enguang,KIRAN,1,5,14
kiran_maddela16,Kiran Maddela,,18,832,260
Touaf_BOUAB,Touafic Bligni BOUAB,,3,4,19
Vedantg_18,Vedant Gaikwad,,2,5,56
jnanaojha,jnanaranjan Ojha,,18,15,136
l_michlin,Arul Michlin L,"Too dead to die....
On my way to become tech baddie...!!!",4,5,13
gammagirl18,gamma.girl,Tech | java | open source✨,11,70,439
Krishna_I7,Krishna,,14,158,177
KaranAsoliya,Karan Singh Asoliya,"Lamborghini Lover 😎😎😎😎
Hungry for money",6,30,105
AbhishekWagh411,Abhishek,IFB,2,12,87
t__drizzy,Nyasha Mandizvidza,,1354,1672,1655
Big_Brains69,Anirudh Soni,,5,21,91
prashan94613996,prashant singh parmar,#HIGHONLIFE  +×,0,0,64
KAdhatrao,Kedar Adhatrao,Frontend Engineer || Javascript || Reactjs || Typescript || Technical writer.,8,17,73
algocodeman,Emmanuel Umeh,,233,274,2023
Harinireddyk1,Harini reddy .k,Étudiante en 3eme année de développement d'application web/mobile.,0,1,43
NyakiweSemou,Nyakiwe SEMOU,,6,59,19
fermin_loeri,FermÃ­n COPOBORÃš LOERI,"Phd student in computer science at university of Maroua Cameroon 🇨🇲
Mobile 📱, Desktop 🖥 and Web 🌍 developer",2,10,21
IsaacTouza,Touza Isaac,,40,29,157
VansEvano19,Evans Otieno,Master's @IITKgp,5,6,92
Dilmehak_Kaur,Dilmehak Kaur,,47,548,2172
dedsyncz,Rohan Lobo,Senior Engineer at Quest Global,1,2,74
e4ekam28,EKAMBARAM MARUTHAPPAN,"🇹🇿
Happy personality with heavy soul",10,0,474
MtaeMercy,Mercy Alfred,,37,105,178
ShivamS14126156,Shivam Singh,🄽🄴🅅🄴🅁 🅂🄴🅃🅃🄻🄴,1,29,8
sharat_9999,ð•Šâ„ð”¸â„ð”¸ð•‹ â„‚â„ð”¸â„•ð”»â„ð”¸ ð•Šð”¸ð•€ ðŸ¡ðŸ¡ðŸ¡ðŸ¡ â„¢Ì¶ âš¡,Believe you can and you are halfway there💫,5,80,168
pophali_anuj,Anuj Pophali,Just another nobody..,0,0,47
alokosx,Alok Patel,,2,8,25
MathuMi65255356,Mathu Mitha,"#शिवप्रेमी🧡🔥⛳ #Self-Respect🤞❤🔥✨❤......  ☘🖤#बाप्पा❤ #मराठी_मुलगा 🔥
“यदा यदा हि धर्मस्य ग्लानिर्भवति भारत।
अभ्युत्थानमधर्मस्य तदात्मानं सृजाम्यहम्।।”",2,3,27
prathmesh_2455,PrathmeshðŸâ¤,"Assistant Professor, Department of Life sciences, RDWU, India",495,20131,291
Alok33429004,Alok,,57,129,242
kd_dharanish,dharanish kailasam,19| tech+ creativity | UI/UX design | Prompt Engineering | open to connect with people.,0,0,8
Vishwajit48,Vishwajit Singh Guleria,"Assistant Professor,
Department of Data Science,
Loyola College,
Chennai-034",27,295,141
manimkn89,Manikandan P,"Engineering student (🖥️)
csk💛
mahi💖",1,3,64
Santu1317,Santosh kumar sahoo,"A forum of thoughts and perspectives designed to ignite conversations and actions leading to growth, and occasional self promotion. #NeverGiveUp #RiseAboveHate",11,3,206
JohnCena,John Cena,Radhe Radhe 🙏❤️,14178252,7553,647737
0022nandini,Nandini Anand,UX Designer | Passionate about design with accessibility | Actively looking for internship role👩‍💻 | Corner artist👩‍🎨 while feeling overwhelmed,30,19,1082
ARPITAD68351478,ARPITA DUTTA,,18,55,147
SattarSuhaib,Suhaib Sattar. A,SDE Intern @ NSPCL : NTPC - Steel Authority of India | IT Undergrad 25' | Front End Web Developer | Freelancing  | Loves Teaching ❤️ |,1,0,31
thatnoobcoder,Siddhant,,31,48,232
AdityaBhaiDeep2,Aditya Bhai Deepak,,1,3,133
C10Madhumitha,Madhumitha .C,Software Engineer,0,0,4
NeelDwivedi2,Neel Dwivedi,"ex-kvian ||
Engineer by Passion ||
Exploring devops",46,258,369
RadhakantPanda1,Radhakant Panda,BEING UNIQUE IS MY STYLE,8,12,92
Applelo96522941,Apple lover,Student,0,9,39
vignesh22720509,vignesh,"Full stack Developer🖥 | Opensource🚀 | Student Expert 
@getpostman | Blogs📙 | DTU'25 MCE",1,1,81
KunalVerma2468,Kunal Verma,Chepanu brother,244,562,1143
joshi_manohar25,Joshi Manohar,,14,44,55
IIC_MITCORER,IIC MITCORER,"🇮🇳भारत माता की जय🇮🇳
❤️वन्दे मातरम्❤️
🚩जय श्री राम🚩",16,25,29
ThakrHarshDahri,à¤¹à¤°à¥à¤· à¤°à¤¾à¤œà¤ªà¥‚à¤¤,,68,23514,1669
Varunsa84770151,Varun sahani,,4,3,316
vino_slm,K Vinothini,MD.,0,0,795
tarawnehms,Mohammed Al-Tarawneh,,104,8,2308
Gireeshsiddi,Gireesh,,1,3,23
Sanskhuz,Sanskar khandelwal,Socialist,4,4,76
deepaksaxena20,deepak saxena,,60,307,357
