screenName,name,bio,followersCount,tweetsCount,friendsCount
SatheGaurang,Gaurang Sathe,"Count me in odds....
Learner n Swain ◉⁠‿⁠◉",37,77,350
aar_u_she,Aarushi Singh,,9,0,140
Shubham88170553,Shubham sahu,Let your knowledge pay you instantly.,7,5,247
leshalem1,leshalem,Robotics Team From Hyderabad 📍,16,1,168
HydraBotz,Hydra Botz,Passionately curious.,12,5,52
nagrikar_adarsh,Adarsh,,16,71,47
Chinmayee2524,Chinmayee Pravin,,12,21,98
raghavtwenty,Raghav,Former SDE intern @ Jp Morgan Chase & Co | Sih 2022 winner | flutter developer | Android developer,0,0,483
krishnadave671,Krishana Dave,Photon in a double slit!😄,48,25,146
GauravGakhar5,Gaurav Gakhar,,12,29,166
rammyy_123,raman chopra,,98,6106,4049
tanushindoria25,Tanush Indoria,,125,2,4005
prathik_S1,prathik Srinivas,new thoughts for change.,45,125,2010
satish_you,satish suryavanshi,"Name is Sakthi, with IETT
Now as a Full Stack Developer",54,154,2641
Sakthivel24498A,sakthi_a,AstraKode simplifies enterprise tech like Blockchain with low-code. AstraKode Blockchain is a low-code platform enabling non-experts to create custom solutions.,1,12,123
AstraKode,AstraKode,100% फॉलो कीजिए फॉलो पाइए🤝,24,46,59
Iamanojyadav,Manoj Yadav ðŸ‡®ðŸ‡³,|Banker| MBA| NISM_IRDAICertified | Musicgraduated| Philanthropist| Animalwelfareworker| Newsholic|Writer|,90,49,296
SANCHITRGKALRA,SANCHIT RG KALRA,"Silly and mad, happy for that😊",168,2180,3826
SRestha_paints,Srestha,Stress is necessary to challenge the students to learn.,16,23,137
kumarhariombca,Hari Om Kumar,जिला शामली ओबीसी मोर्चा जिला कार्यकारिणी सदस्य भाजपा,30,59,2072
KETANKa65840054,ketan Kashyap,,1353,3045,2836
Thiruma06944665,Thirumalesh,"- Dev @pushprotocol
- Building @tweetbase_, Prev: @MayaLabsIO
- Winner FVM Space Wrap Hack, ETHforAll, SIH '22 🏆
- Web2 && Web3 🌐
- @Mugdha_s27 ❤️",16,3,451
Im_Madhur_Gupta,"madhurgupta.(lens, eth) ðŸ–","Engineering CSE 👨‍🎓 || Digital Artist || NFT Creator || NFT Collector || Founder : SLEXIP , TROZENWEB || Volleyball 🏐 || Valorant 🎮",427,251,1537
_slexip,Nikhil Singh,,153,175,148
RohitRajChoud29,Rohit Raj Choudhary,,6,0,87
Sajana_23,Sajana 34,"An undergrad at Indian Institute of Information Technology,Nagpur. Trying out different fields. Going strong on web development rn.",0,0,46
AdityaaBhivgade,Aditya Bhivgade,,23,110,38
SaivinayPotluri,saivinay potluri,,5,3,39
rajniBahuguna2,rajni Bahuguna,"|Open Source 💚| Debian ☠️| React Js|
Github - https://t.co/2Wor4vA7GR",0,32,16
anshuman_twts,Anshuman Shukla,"Exploring tech, design, & culture through a blockchain lens. Sharing insights, inspiration, & curiosity. Follow for updates on decentralized tech and its impact",52,110,230
0xmjc,Jashwanth Mummalaneni,"I am not different from world, my world is different ♥️",48,92,243
